x, y, th, ts, 
3.8410804271698, 1.0564593076705933, -0.781032158520504, 1732834274877117826, 
3.8489108085632324, 1.0486137866973877, -0.7781215347281096, 1732834274986873711, 
3.85575795173645, 1.0416332483291626, -0.775024742230549, 1732834275084033660, 
3.8623549938201904, 1.0351845026016235, -0.7749893146086588, 1732834275176741953, 
3.86948561668396, 1.0283446311950684, -0.7714262656233866, 1732834275278051632, 
3.8763580322265625, 1.0217376947402954, -0.769859779806365, 1732834275374782796, 
3.8842084407806396, 1.0140812397003174, -0.7696204145840837, 1732834275484654227, 
3.8906893730163574, 1.0077778100967407, -0.7702534254358951, 1732834275577762553, 
3.8976309299468994, 1.0010297298431396, -0.7682372375544045, 1732834275676743564, 
3.9054901599884033, 0.9933205842971802, -0.7657590890803783, 1732834275785971645, 
3.9123034477233887, 0.9867722392082214, -0.745744909890856, 1732834275884869390, 
3.919360399246216, 0.9805966019630432, -0.718453535213479, 1732834275977772210, 
3.927016496658325, 0.9742380976676941, -0.6922399195182415, 1732834276076836384, 
3.9343814849853516, 0.9679953455924988, -0.6619836489224886, 1732834276174456036, 
3.943204402923584, 0.9615494012832642, -0.6256123446306565, 1732834276284835082, 
3.950834035873413, 0.9561214447021484, -0.5932559793015078, 1732834276377703139, 
3.958972930908203, 0.9511464238166809, -0.5440891488203765, 1732834276475943600, 
3.967569589614868, 0.9460578560829163, -0.4906549230185063, 1732834276574665712, 
3.976999044418335, 0.9413665533065796, -0.44111264399373556, 1732834276684728380, 
3.985180616378784, 0.9376470446586609, -0.39429580941682757, 1732834276777923953, 
3.9943196773529053, 0.9339370727539062, -0.34806097289370536, 1732834276876200512, 
4.004907131195068, 0.9304917454719543, -0.2972499973502111, 1732834276987095076, 
4.014131546020508, 0.9278303980827332, -0.2467319061995866, 1732834277084309089, 
4.023038864135742, 0.9258003830909729, -0.2017571068865696, 1732834277176849397, 
4.033440113067627, 0.923945963382721, -0.15813167255590863, 1732834277276928194, 
4.043956279754639, 0.9222087860107422, -0.1245262006647261, 1732834277387648932, 
4.053341865539551, 0.9211840033531189, -0.09286155442833947, 1732834277484833264, 
