x, y, th, stamp, 
-1.2071410417556763, -4.639560699462891, -2.0940941861331797, 1727986837618680679, 
-1.209469199180603, -4.643054485321045, -2.0939173170498693, 1727986837666275266, 
-1.2142795324325562, -4.651551723480225, -2.0933676108799557, 1727986837732103772, 
-1.2189037799835205, -4.659271240234375, -2.0933676108799557, 1727986837778463526, 
-1.2238901853561401, -4.667407512664795, -2.0938044680980474, 1727986837826332230, 
-1.228496789932251, -4.6754150390625, -2.0958516644080456, 1727986837874323491, 
-1.233232021331787, -4.683310508728027, -2.0958516644080456, 1727986837923249545, 
-1.237441062927246, -4.690950393676758, -2.0958516644080456, 1727986837971220069, 
-1.2416412830352783, -4.698502063751221, -2.0948195121705435, 1727986838018198404, 
-1.2459886074066162, -4.705978870391846, -2.094086682195826, 1727986838066121279, 
-1.250531792640686, -4.713947772979736, -2.092420903146955, 1727986838114123357, 
-1.2565613985061646, -4.724492073059082, -2.092420903146955, 1727986838178520128, 
-1.2611194849014282, -4.732316017150879, -2.092420903146955, 1727986838226461378, 
-1.26555597782135, -4.740161418914795, -2.0923000991708305, 1727986838274405679, 
-1.2703003883361816, -4.748246192932129, -2.0923000991708305, 1727986838323438718, 
-1.2748558521270752, -4.7562031745910645, -2.0924611461827993, 1727986838371378163, 
-1.279284954071045, -4.763768672943115, -2.0924611461827993, 1727986838418323970, 
-1.2836569547653198, -4.771478652954102, -2.0924611461827993, 1727986838466227119, 
-1.289734959602356, -4.781912326812744, -2.0931032468002133, 1727986838530231900, 
-1.292862057685852, -4.787310600280762, -2.0938015487054185, 1727986838563233579, 
-1.2988759279251099, -4.797387599945068, -2.0942614896238587, 1727986838626214701, 
-1.3034989833831787, -4.805267810821533, -2.0948284692932027, 1727986838674214745, 
-1.308443307876587, -4.81337833404541, -2.0948284692932027, 1727986838723221123, 
-1.313003659248352, -4.82130241394043, -2.0964688144961015, 1727986838771216248, 
-1.3173202276229858, -4.828838348388672, -2.0964688144961015, 1727986838818224382, 
-1.3218343257904053, -4.836641311645508, -2.095513838683064, 1727986838866647869, 
-1.3265550136566162, -4.844740867614746, -2.095597173058064, 1727986838915626591, 
-1.3327139616012573, -4.854926586151123, -2.0966887987172567, 1727986838978241293, 
-1.3371880054473877, -4.862701416015625, -2.0971888401779832, 1727986839026377620, 
-1.3416752815246582, -4.870472431182861, -2.0971888401779832, 1727986839074211336, 
-1.3462738990783691, -4.87846565246582, -2.0971888401779832, 1727986839123250514, 
-1.350905179977417, -4.886497497558594, -2.0971888401779832, 1727986839171228658, 
-1.3553252220153809, -4.894487380981445, -2.0960075845349957, 1727986839220235641, 
-1.359627604484558, -4.901942253112793, -2.0951651943733682, 1727986839266551597, 
-1.364259958267212, -4.9100022315979, -2.095105678710721, 1727986839314306550, 
-1.3706200122833252, -4.920853137969971, -2.095101648548226, 1727986839380688082, 
-1.3751037120819092, -4.928336143493652, -2.094346214103125, 1727986839426245611, 
-1.3799678087234497, -4.936624526977539, -2.0949562602700014, 1727986839474221916, 
-1.3847166299819946, -4.944821357727051, -2.0959926526898705, 1727986839523255104, 
-1.3892545700073242, -4.952824592590332, -2.0964714271059743, 1727986839571260880, 
-1.3937071561813354, -4.960649013519287, -2.0964714271059743, 1727986839619275926, 
-1.398216962814331, -4.968472480773926, -2.0962674850626084, 1727986839666318860, 
-1.4029321670532227, -4.976543426513672, -2.09691868585081, 1727986839714765193, 
-1.4075967073440552, -4.984298229217529, -2.097480713504502, 1727986839763675469, 
-1.413875699043274, -4.995010852813721, -2.0983040644648074, 1727986839826316637, 
-1.41874361038208, -5.003320217132568, -2.099256600834686, 1727986839875256218, 
-1.4233888387680054, -5.011219501495361, -2.1001920356576687, 1727986839923254912, 
-1.4279491901397705, -5.019039630889893, -2.0993749011304237, 1727986839971225008, 
-1.43263840675354, -5.02727746963501, -2.0993741945546853, 1727986840019313376, 
-1.4371907711029053, -5.034942150115967, -2.099973162817499, 1727986840066224925, 
-1.443463921546936, -5.045633792877197, -2.099973162817499, 1727986840130929948, 
-1.4463996887207031, -5.050761699676514, -2.099973162817499, 1727986840163244244, 
-1.4525973796844482, -5.061429977416992, -2.099709520220983, 1727986840227221665, 
-1.4571832418441772, -5.0694756507873535, -2.099709520220983, 1727986840274219198, 
-1.4618386030197144, -5.077481269836426, -2.0996040938127623, 1727986840323253952, 
-1.466330885887146, -5.085442066192627, -2.0996040938127623, 1727986840371211804, 
-1.471028208732605, -5.093338966369629, -2.0988563390927473, 1727986840419311556, 
-1.47565495967865, -5.101381778717041, -2.098295845604738, 1727986840468246570, 
-1.48015558719635, -5.109019756317139, -2.0973527928247084, 1727986840514403863, 
-1.4865361452102661, -5.119720935821533, -2.0968895002466335, 1727986840579605975, 
-1.4912761449813843, -5.127522945404053, -2.0968895002466335, 1727986840628373175, 
-1.4958734512329102, -5.135278224945068, -2.097830800940141, 1727986840674205093, 
-1.500617504119873, -5.143543243408203, -2.097830800940141, 1727986840723205578, 
-1.505180835723877, -5.151451587677002, -2.098084484011635, 1727986840771227396, 
-1.50999116897583, -5.159543514251709, -2.098084484011635, 1727986840819314877, 
-1.51444411277771, -5.167244911193848, -2.098760278706959, 1727986840867746524, 
-1.5205384492874146, -5.177774906158447, -2.099580783256105, 1727986840931656859, 
-1.5251564979553223, -5.185653209686279, -2.100653074409795, 1727986840979272570, 
-1.5297775268554688, -5.193521022796631, -2.101576861229391, 1727986841027214419, 
-1.5341341495513916, -5.201228618621826, -2.102031753054645, 1727986841074257639, 
-1.5388493537902832, -5.209198951721191, -2.100999590281315, 1727986841123208360, 
-1.5435247421264648, -5.217114448547363, -2.100999590281315, 1727986841171237663, 
-1.5482852458953857, -5.225142002105713, -2.100999590281315, 1727986841219340640, 
-1.5526859760284424, -5.232865810394287, -2.101269720298715, 1727986841267354708, 
-1.5572823286056519, -5.24069356918335, -2.1008664598149287, 1727986841314185172, 
-1.5619721412658691, -5.2488627433776855, -2.1008664598149287, 1727986841363366733, 
-1.5679982900619507, -5.259036064147949, -2.1007035075556493, 1727986841427336283, 
