x, y, th, stamp, 
-1.289767861366272, -3.4596922397613525, -1.0796216869887036, 1727987019981445129, 
-1.2801560163497925, -3.4770348072052, -1.0600493019046184, 1727987020029473342, 
-1.2705985307693481, -3.4937736988067627, -1.0407087244833946, 1727987020077839586, 
-1.2605050802230835, -3.5106375217437744, -1.0226404818215928, 1727987020125449389, 
-1.2500016689300537, -3.527245283126831, -1.0036492851249397, 1727987020174389028, 
-1.2395517826080322, -3.543295383453369, -0.9838679203999201, 1727987020221444062, 
-1.228688359260559, -3.559380531311035, -0.9634125637320451, 1727987020269538374, 
-1.2130101919174194, -3.5810253620147705, -0.9372974763829091, 1727987020334553776, 
-1.2055187225341797, -3.591148614883423, -0.9253177109828422, 1727987020365668641, 
-1.1893784999847412, -3.612051010131836, -0.8986720697293437, 1727987020429441733, 
-1.177254557609558, -3.6271016597747803, -0.8779128516099575, 1727987020477466843, 
-1.1644731760025024, -3.642353057861328, -0.8579225169091965, 1727987020525442639, 
-1.1508471965789795, -3.657559633255005, -0.8385497330896576, 1727987020575390984, 
-1.138237714767456, -3.6714682579040527, -0.8205677020370765, 1727987020621443851, 
-1.1248794794082642, -3.6854472160339355, -0.8017817701371917, 1727987020669525328, 
-1.1113059520721436, -3.6992616653442383, -0.7820662773378672, 1727987020717321807, 
-1.0923279523849487, -3.7175381183624268, -0.7573932390238779, 1727987020781732413, 
-1.0781519412994385, -3.730729579925537, -0.7381745340378036, 1727987020829741666, 
-1.0638432502746582, -3.743490219116211, -0.7182640028931483, 1727987020877678244, 
-1.0488533973693848, -3.7562789916992188, -0.6981810999319534, 1727987020925582867, 
-1.0334012508392334, -3.768909215927124, -0.677336705233112, 1727987020974512548, 
-1.0182514190673828, -3.7808971405029297, -0.6574725979359158, 1727987021021462945, 
-1.0026066303253174, -3.792499542236328, -0.6383837087068583, 1727987021069401603, 
-0.9809445738792419, -3.8081247806549072, -0.6128733092326879, 1727987021134205626, 
-0.9705690741539001, -3.8152472972869873, -0.6017962414022782, 1727987021165174542, 
-0.9487050175666809, -3.8299007415771484, -0.5771336594652194, 1727987021229775344, 
-0.932320773601532, -3.840341329574585, -0.5584287647381623, 1727987021277824656, 
-0.9158993363380432, -3.8504083156585693, -0.5385425511006453, 1727987021325653126, 
-0.8984423279762268, -3.8605449199676514, -0.519564504262104, 1727987021373684919, 
-0.8807607889175415, -3.870482921600342, -0.4992484776071795, 1727987021423557273, 
-0.8643896579742432, -3.8792057037353516, -0.4796445912356622, 1727987021469514443, 
-0.8410457968711853, -3.8909170627593994, -0.45171481164257216, 1727987021533281436, 
-0.8294230103492737, -3.896449089050293, -0.4384313477259006, 1727987021566099802, 
-0.8054038286209106, -3.9073235988616943, -0.4122768533172524, 1727987021629814229, 
-0.7878119945526123, -3.9148476123809814, -0.3948398606149558, 1727987021677761697, 
-0.769698441028595, -3.9223005771636963, -0.37747557486258637, 1727987021725690494, 
-0.7507033348083496, -3.929511785507202, -0.3582291344134201, 1727987021773910170, 
-0.7321692109107971, -3.936267137527466, -0.33790251623513007, 1727987021822769186, 
-0.7139882445335388, -3.9424853324890137, -0.31867829162642186, 1727987021869676476, 
-0.6891080737113953, -3.950373888015747, -0.2932082746178286, 1727987021933159499, 
-0.676787793636322, -3.954059600830078, -0.2800899886959111, 1727987021965830872, 
